,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
42,2020-05-26,1663783,19029,24297.321306985905,98472,539,954.7676955608283,98472
43,2020-05-27,1681653,17870,23263.96881258937,99146,674,950.6874781633209,99146
44,2020-05-28,1700901,19248,22115.162805864835,100622,1476,952.1252934959997,100622
45,2020-05-29,1722836,21935,20963.609476802434,101727,1105,956.821365042579,101727
46,2020-05-30,1747537,24701,19917.601334742176,102883,1156,962.365172754254,102883
47,2020-05-31,1772194,24657,19070.697482514774,103851,968,966.3967936647248,103851
48,2020-06-01,1792222,20028,18493.311973115095,104490,639,966.8007636714492,104490
49,2020-06-02,1812567,20345,18226.9608883638,105250,760,961.8766369538419,105250
50,2020-06-03,1833600,21033,18281.637057037995,106203,953,950.472560454794,106203
51,2020-06-04,1853454,19854,18636.462846345785,107203,1000,932.0714305197171,107203
52,2020-06-05,1874901,21447,19243.44745613277,108226,1023,906.8232728622232,108226
53,2020-06-06,1904778,29877,20033.876645049324,109345,1119,875.5220346890535,109345
54,2020-06-07,1927657,22879,20926.61771851602,110043,698,839.5296121161904,110043
55,2020-06-08,1946420,18763,21837.453114076154,110503,460,800.6542670832434,110503
56,2020-06-09,1962955,16535,22688.47656296617,110974,471,760.9942562490344,110974
57,2020-06-10,1980951,17996,23416.602226242598,111930,956,722.7602008325496,111930
58,2020-06-11,2002468,21517,23980.345783295063,112833,903,688.0912574399587,112833
59,2020-06-12,2024536,22068,24364.22483661763,113680,847,658.8803945852201,113680
60,2020-06-13,2050705,26169,24580.374432913264,114523,843,636.6230376837211,114523
61,2020-06-14,2076261,25556,24667.256839184927,115250,727,622.301125992114,115250
62,2020-06-15,2095980,19719,24685.63490298182,115580,330,616.3114360735964,115580
63,2020-06-16,2114522,18542,24712.24713891047,115976,396,618.4431550480714,115976
64,2020-06-17,2138450,23928,24831.844408003657,116764,788,627.9054738575096,116764
65,2020-06-18,2165690,27240,25128.401917444084,117523,759,643.4017801995523,117523
66,2020-06-19,2193639,27949,25676.392337896636,118220,697,663.2432185300136,118220
67,2020-06-20,2225545,31906,26532.99026696741,118877,657,685.491267623462,118877
68,2020-06-21,2258729,33184,27731.97773880501,119452,575,708.1168160175005,119452
69,2020-06-22,2285119,26390,29279.94582376796,119734,282,729.1621573997708,119734
70,2020-06-23,2316448,31329,31155.156418976516,120145,411,746.892447700595,120145
71,2020-06-24,2352802,36354,33309.16415042479,120865,720,759.9244263510419,120865
72,2020-06-25,2389361,36559,35671.02687564985,121614,749,767.32247092223,121614
73,2020-06-26,2429872,40511,38153.68098692169,124046,2432,768.6551078702406,124046
74,2020-06-27,2476031,46159,40661.8488347698,124681,635,764.0086594455908,124681
75,2020-06-28,2518210,42179,43100.69995383906,125177,496,753.9584474258668,125177
76,2020-06-29,2560322,42112,45384.41892185814,125484,307,739.5015688441495,125484
77,2020-06-30,2600073,39751,47443.84663711329,125810,326,721.9583982829288,125810
78,2020-07-01,2647344,47271,49232.45655007435,127028,1218,702.8523936642968,127028
79,2020-07-02,2698355,51011,50730.0931590466,127675,647,683.7792951241807,127675
80,2020-07-03,2753200,54845,51944.12035179365,128396,721,666.2773016870387,128396
81,2020-07-04,2807591,54391,52907.88030736479,129080,684,651.7092728459893,129080
82,2020-07-05,2856101,48510,53676.62503246373,129357,277,641.1665085854121,129357
83,2020-07-06,2905667,49566,54321.32695167969,129660,303,635.4013718280579,129660
84,2020-07-07,2951700,46033,54920.97886981073,130011,351,634.7931588296502,130011
85,2020-07-08,3010611,58911,55554.13768792135,131133,1122,639.3484681004851,131133
86,2020-07-09,3069884,59273,56290.536960780206,131929,796,648.7341593361521,131929
87,2020-07-10,3130601,60717,57183.58432922828,132946,1017,662.3381160970143,132946
88,2020-07-11,3198477,67876,58264.472326294985,133750,804,679.3506826687636,133750
89,2020-07-12,3259867,61390,59538.47382807792,134495,745,698.8580351218245,134495
90,2020-07-13,3320746,60879,60983.78190626177,134934,439,719.9379960654588,134934
91,2020-07-14,3378091,57345,62553.00855087787,135356,422,741.7489574613425,135356
92,2020-07-15,3445031,66940,64177.20129716716,136230,874,763.6035976591971,136230
93,2020-07-16,3512940,67909,65771.99567889636,137170,940,785.0208503434693,137170
94,2020-07-17,3588855,75915,67245.31761518886,138131,961,805.7519206965931,138131
95,2020-07-18,3660987,72132,68505.90261410802,139020,889,825.7788158562352,139020
96,2020-07-19,3725787,64800,69471.82184419569,139893,873,845.2866046733058,139893
97,2020-07-20,3787931,62144,70078.20570739957,140331,438,864.61318603671,140331
98,2020-07-21,3847580,59649,70283.43315768574,140717,386,884.1824879465813,140717
99,2020-07-22,3913634,66054,70073.20193337685,141795,1078,904.4285471205135,141795
100,2020-07-23,3983784,70150,69462.09683641384,142995,1200,925.7186981188621,142995
101,2020-07-24,4051800,68016,68492.51076393842,144106,1111,948.2840708710686,144106
102,2020-07-25,4126819,75019,67231.02365471981,145303,1197,972.164771830684,145303
103,2020-07-26,4193142,66323,65762.5840216997,146294,991,997.1755965436612,146294
104,2020-07-27,4250669,57527,64183.04362732645,146829,535,1022.8960445099879,146829
105,2020-07-28,4306738,56069,62590.74875037873,147926,1097,1048.685984488194,147926
106,2020-07-29,4370753,64015,61077.97714739473,149080,1154,1073.7257831892564,149080
107,2020-07-30,4438829,68076,59723.02043440765,150488,1408,1097.0773036400708,150488
108,2020-07-31,4507280,68451,58583.646566316704,151906,1418,1117.760127564226,151906
109,2020-08-01,4575704,68424,57692.54291047199,153119,1213,1134.8358495114403,153119
110,2020-08-02,4635877,60173,57055.15015619051,154262,1143,1147.4924668895032,154262
111,2020-08-03,4682289,46412,56650.06927855421,154727,465,1155.1208222304847,154727
112,2020-08-04,4728367,46078,56431.979773253915,155292,565,1157.3757436698168,155292
113,2020-08-05,4783751,55384,56336.770591170054,156572,1280,1154.2159080676963,156572
114,2020-08-06,4838995,55244,56288.37801542655,157993,1421,1145.9183865192706,157993
115,2020-08-07,4896371,57376,56206.66660862761,159776,1783,1133.0661418222592,159776
116,2020-08-08,4957742,61371,56015.595034225575,161074,1298,1116.5092163556758,161074
117,2020-08-09,5013793,56051,55650.886626031395,162153,1079,1097.3027484293455,162153
118,2020-08-10,5063017,49224,55066.476745713524,162725,572,1076.6270653848333,162725
119,2020-08-11,5108278,45261,54239.12990551225,163235,510,1055.6967308256546,163235
120,2020-08-12,5161168,52890,53170.7975319779,164341,1106,1035.6664252544233,164341
121,2020-08-13,5213490,52322,51888.5049606926,165844,1503,1017.5418265945098,165844
122,2020-08-14,5264929,51439,50441.79295026939,166890,1046,1002.1032080340799,166890
123,2020-08-15,5330009,65080,48897.97215886452,168200,1310,989.8483310384772,168200
124,2020-08-16,5380406,50397,47335.656553718196,169246,1046,980.9594892498465,169246
125,2020-08-17,5421270,40864,45837.204069578875,169850,604,975.2974141434154,169850
126,2020-08-18,5456359,35089,44480.79480760882,170314,464,972.4223822135232,170314
127,2020-08-19,5499385,43026,43332.90926615389,171532,1218,971.6404809716933,171532
128,2020-08-20,5542976,43591,42441.92875465228,172838,1306,972.0708106549858,172838
