,date,total_confirmed,new_confirmed,new_confirmed_after_fft
583,2021-11-18,4296397,3963,3273.4322839654264
584,2021-11-19,4301331,4934,3088.800824407647
585,2021-11-20,4304742,3411,2901.045759363388
586,2021-11-21,4306389,1647,2726.223922534689
587,2021-11-22,4307087,698,2580.164584429041
588,2021-11-23,4311138,4051,2477.157536902634
589,2021-11-24,4316239,5101,2428.7317908334876
590,2021-11-25,4320753,4514,2442.625752550082
591,2021-11-26,4321057,304,2522.0352367235755
592,2021-11-27,4321097,40,2665.2038593867087
593,2021-11-28,4321134,37,2865.393044262507
594,2021-11-29,4321134,0,3111.238352430797
595,2021-11-30,4329309,8175,3387.4676697581826
596,2021-12-01,4335900,6591,3675.9275735038927
597,2021-12-02,4341140,5240,3956.8393928622377
598,2021-12-03,4345433,4293,4210.1881399124
599,2021-12-04,4349514,4081,4417.137121366172
600,2021-12-05,4351335,1821,4561.359466513981
601,2021-12-06,4352098,763,4630.185090495067
602,2021-12-07,4356275,4177,4615.47707058604
603,2021-12-08,4361295,5020,4514.173676627902
604,2021-12-09,4366341,5046,4328.4594336510145
605,2021-12-10,4370210,3869,4065.55828510733
606,2021-12-11,4385287,15077,3737.171664770793
