,date,total_confirmed,new_confirmed,new_confirmed_after_fft
119,2020-08-11,513939,6010,7802.710833080651
120,2020-08-12,522215,8276,7578.870690365333
121,2020-08-13,528743,6528,7328.413875180756
122,2020-08-14,535743,7000,7064.003239071347
123,2020-08-15,545700,9957,6798.749078371099
124,2020-08-16,552814,7114,6545.007191456092
125,2020-08-17,560484,7670,6313.265845471338
126,2020-08-18,565979,5495,6111.221516514197
127,2020-08-19,573798,7819,5943.12624063608
128,2020-08-20,579406,5608,5809.465028954449
129,2020-08-21,584628,5222,5706.992200247293
130,2020-08-22,590409,5781,5629.123275458257
131,2020-08-23,594188,3779,5566.6471031368055
132,2020-08-24,598910,4722,5508.693970529097
133,2020-08-25,603381,4471,5443.872164581079
134,2020-08-26,609534,6153,5361.469851849849
135,2020-08-27,615772,6238,5252.612642752429
136,2020-08-28,619814,4042,5111.270391544595
137,2020-08-29,625053,5239,4935.019404685398
138,2020-08-30,630092,5039,4725.487202342627
139,2020-08-31,632865,2773,4488.434481075444
140,2020-09-01,636201,3336,4233.460565141224
141,2020-09-02,641231,5030,3973.3516493147968
142,2020-09-03,645406,4175,3723.1226446891997
143,2020-09-04,648964,3558,3498.830687695835
144,2020-09-05,654952,5988,3316.2589794323794
145,2020-09-06,659411,4459,3189.5817839483757
146,2020-09-07,661911,2500,3130.12406244991
147,2020-09-08,662778,867,3145.322114736113
148,2020-09-09,666409,3631,3237.9753452907394
149,2020-09-10,671279,4870,3405.855266578221
150,2020-09-11,673462,2183,3641.7081612191337
151,2020-09-12,679032,5570,3933.6549989878094
152,2020-09-13,681899,2867,4265.959058176755
153,2020-09-14,686166,4267,4620.101066136832
154,2020-09-15,690216,4050,4976.076156031793
155,2020-09-16,697241,7025,5313.808690320133
156,2020-09-17,701187,3946,5614.571546040841
157,2020-09-18,705749,4562,5862.296550902243
158,2020-09-19,709198,3449,6044.672338956808
159,2020-09-20,712051,2853,6153.944086457578
160,2020-09-21,717727,5676,6187.3547896331565
161,2020-09-22,739487,21760,6147.1977687990075
162,2020-09-23,746471,6984,6040.482347581426
163,2020-09-24,747945,1474,5878.246415138225
164,2020-09-25,752811,4866,5674.578156266202
165,2020-09-26,756802,3991,5445.432251016768
166,2020-09-27,760281,3479,5207.341422748478
167,2020-09-28,765003,4722,4976.1311263930875
168,2020-09-29,767990,2987,4765.7429431542605
169,2020-09-30,774438,6448,4587.261192260218
170,2020-10-01,778057,3619,4448.218439070548
171,2020-10-02,781843,3786,4352.230672189729
172,2020-10-03,787698,5855,4298.984132866042
173,2020-10-04,793064,5366,4284.5655988250555
174,2020-10-05,795520,2456,4302.098924651561
175,2020-10-06,799793,4273,4342.625256430298
176,2020-10-07,806225,6432,4396.14466091357
177,2020-10-08,811391,5166,4452.724514841238
178,2020-10-09,815327,3936,4503.575823103698
179,2020-10-10,819912,4585,4542.002900496163
180,2020-10-11,824119,4207,4564.144069442108
181,2020-10-12,826196,2077,4569.440041105379
182,2020-10-13,828815,2619,4560.790752108275
183,2020-10-14,834761,5946,4544.388516581679
184,2020-10-15,840829,6068,4529.243101987979
185,2020-10-16,845717,4888,4526.440410498334
186,2020-10-17,851830,6113,4548.198690600632
187,2020-10-18,856684,4854,4606.802819677478
188,2020-10-19,862191,5507,4713.506893018312
189,2020-10-20,865445,3254,4877.497433391949
190,2020-10-21,870980,5535,5105.003948370518
191,2020-10-22,877928,6948,5398.630896109567
192,2020-10-23,880754,2826,5756.966533417416
193,2020-10-24,887961,7207,6174.501236290326
194,2020-10-25,897630,9669,6641.86264607713
195,2020-10-26,901131,3501,7146.349499880113
196,2020-10-27,907706,6575,7672.722324190259
197,2020-10-28,914584,6878,8204.189186176058
198,2020-10-29,921888,7304,8723.509946505565
199,2020-10-30,928809,6921,9214.134022492042
200,2020-10-31,934760,5951,9661.285098739263
201,2020-11-01,942850,8090,10052.911498865536
202,2020-11-02,975717,32867,10380.432493931376
203,2020-11-03,982529,6812,10639.227621906015
204,2020-11-04,992250,9721,10828.836689944872
205,2020-11-05,1003342,11092,10952.860826245726
206,2020-11-06,1014091,10749,11018.5779190504
207,2020-11-07,1023763,9672,11036.307232053812
208,2020-11-08,1031453,7690,11018.576290253939
209,2020-11-09,1039049,7596,10979.156949529508
210,2020-11-10,1046241,7192,10932.045942662464
211,2020-11-11,1058874,12633,10890.467625725845
212,2020-11-12,1072157,13283,10865.973093953357
213,2020-11-13,1083440,11283,10867.700715738492
214,2020-11-14,1096469,13029,10901.849278626974
215,2020-11-15,1107456,10987,10971.3975178807
216,2020-11-16,1115378,7922,11076.0842078896
217,2020-11-17,1124116,8738,11212.642764056389
218,2020-11-18,1137495,13379,11375.264958486036
219,2020-11-19,1151317,13822,11556.251320800991
220,2020-11-20,1165609,14292,11746.792292341517
221,2020-11-21,1179707,14098,11937.815155890195
222,2020-11-22,1192973,13266,12120.827755680955
223,2020-11-23,1201930,8957,12288.691258665483
224,2020-11-24,1210459,8529,12436.260512470139
225,2020-11-25,1231319,20860,12560.84139571098
226,2020-11-26,1248700,17381,12662.429089213296
227,2020-11-27,1256127,7427,12743.708334002562
228,2020-11-28,1261000,4873,12809.815229909145
229,2020-11-29,1267016,6016,12867.878635517665
230,2020-11-30,1281337,14321,12926.376436229362
231,2020-12-01,1291458,10121,12994.35663124136
232,2020-12-02,1306735,15277,13080.584308058
233,2020-12-03,1327263,20528,13192.68232318979
234,2020-12-04,1346216,18953,13336.335380940798
235,2020-12-05,1360818,14602,13514.624013764378
236,2020-12-06,1374889,14071,13727.546868939437
237,2020-12-07,1387163,12274,13971.777177072252
238,2020-12-08,1394656,7493,14240.683099262014
239,2020-12-09,1414125,19469,14524.622859132112
240,2020-12-10,1428656,14531,14811.505396517985
241,2020-12-11,1444808,16152,15087.587087092255
242,2020-12-12,1460691,15883,15338.456252397687
243,2020-12-13,1474276,13585,15550.141086301894
244,2020-12-14,1483168,8892,15710.264460692075
245,2020-12-15,1493486,10318,15809.161841440553
246,2020-12-16,1514508,21022,15840.876950268734
247,2020-12-17,1536275,21767,15803.954204006295
248,2020-12-18,1553765,17490,15701.95731476986
249,2020-12-19,1570908,17143,15543.659300495805
250,2020-12-20,1585167,14259,15342.869693962477
251,2020-12-21,1594965,9798,15117.888745203329
252,2020-12-22,1607985,13020,14890.60438044614
253,2020-12-23,1629816,21831,14685.273888177397
254,2020-12-24,1652488,22672,14527.056918445549
255,2020-12-25,1661626,9138,14440.387586316816
256,2020-12-26,1664941,3315,14447.289586692748
257,2020-12-27,1670355,5414,14565.7478458293
258,2020-12-28,1699194,28839,14808.25232974129
259,2020-12-29,1707818,8624,15180.6236570058
260,2020-12-30,1732971,25153,15681.216127635764
261,2020-12-31,1754975,22004,16300.572265464436
262,2021-01-01,1772784,17809,17021.57513518558
263,2021-01-02,1782956,10172,17820.11221283385
264,2021-01-03,1801181,18225,18666.229561918102
265,2021-01-04,1816886,15705,19525.719892902784
266,2021-01-05,1831146,14260,20362.055290530912
267,2021-01-06,1864173,33027,21138.54746299649
268,2021-01-07,1884799,20626,21820.597545224125
269,2021-01-08,1910091,25292,22377.885606127435
270,2021-01-09,1932554,22463,22786.34832386843
271,2021-01-10,1951915,19361,23029.80236503421
272,2021-01-11,1968189,16274,23101.09062308871
273,2021-01-12,1990204,22015,23002.657636947242
274,2021-01-13,2014645,24441,22746.497469304977
275,2021-01-14,2040751,26106,22353.459672289016
276,2021-01-15,2068637,27886,21851.94380429552
277,2021-01-16,2094921,26284,21276.057088980913
278,2021-01-17,2112662,17741,20663.349962437027
279,2021-01-18,2127111,14449,20052.277355346214
280,2021-01-19,2138190,11079,19479.55694339963
281,2021-01-20,2157459,19269,18977.6072517577
282,2021-01-21,2185554,28095,18572.24721458361
283,2021-01-22,2208871,23317,18280.824300688342
284,2021-01-23,2227789,18918,18110.91133825947
285,2021-01-24,2242473,14684,18059.67438251507
286,2021-01-25,2250421,7948,18113.967905747275
287,2021-01-26,2269424,19003,18251.162473088585
288,2021-01-27,2290621,21197,18440.65758091181
289,2021-01-28,2309220,18599,18645.982345779703
290,2021-01-29,2330272,21052,18827.343001066376
291,2021-01-30,2348188,17916,18944.44204769124
292,2021-01-31,2363266,15078,18959.37211060482
293,2021-02-01,2376344,13078,18839.379882589164
294,2021-02-02,2412627,36283,18559.302757909187
295,2021-02-03,2431687,19060,18103.50251755327
296,2021-02-04,2449535,17848,17467.155263252902
297,2021-02-05,2463424,13889,16656.802235467312
298,2021-02-06,2478003,14579,15690.118884155365
299,2021-02-07,2486505,8502,14594.915696971198
300,2021-02-08,2494861,8356,13407.43964345752
301,2021-02-09,2504578,9717,12170.095513458513
302,2021-02-10,2518333,13755,10928.748115509763
303,2021-02-11,2531060,12727,9729.796110917567
304,2021-02-12,2543236,12176,8617.223946865965
305,2021-02-13,2554842,11606,7629.83875177276
306,2021-02-14,2564055,9213,6798.884176082561
307,2021-02-15,2568930,4875,6146.194183955055
308,2021-02-16,2571723,2793,5683.008990271347
309,2021-02-17,2574648,2925,5409.525861105774
310,2021-02-18,2579802,5154,5315.203175423644
311,2021-02-19,2582111,2309,5379.781152880954
312,2021-02-20,2587712,5601,5574.9311792671015
313,2021-02-21,2593816,6104,5866.401589073732
314,2021-02-22,2600660,6844,6216.494360737055
315,2021-02-23,2606513,5853,6586.686842592997
316,2021-02-24,2617096,10583,6940.206704025818
317,2021-02-25,2624852,7756,7244.3769971485335
318,2021-02-26,2632666,7814,7472.570570164465
319,2021-02-27,2643463,10797,7605.647085096921
320,2021-02-28,2649363,5900,7632.7886659896085
321,2021-03-01,2653013,3650,7551.698205537324
322,2021-03-02,2660791,7778,7368.173709501378
323,2021-03-03,2668091,7300,7095.118853280054
324,2021-03-04,2675712,7621,6751.0905469166
325,2021-03-05,2683386,7674,6358.515713889818
326,2021-03-06,2688975,5589,5941.729458318589
327,2021-03-07,2692691,3716,5524.99407556641
328,2021-03-08,2695558,2867,5130.65276259703
329,2021-03-09,2699083,3525,4777.554267959569
330,2021-03-10,2704712,5629,4479.85690430888
331,2021-03-11,2710278,5566,4246.284929628398
332,2021-03-12,2715993,5715,4079.870436260796
333,2021-03-13,2721511,5518,3978.1729919337536
334,2021-03-14,2724607,3096,3933.930757059142
335,2021-03-15,2727462,2855,3936.0637565373154
336,2021-03-16,2731814,4352,3970.924954781884
337,2021-03-17,2737763,5949,4023.6795571086304
338,2021-03-18,2742274,4511,4079.6884411435276
339,2021-03-19,2745694,3420,4125.777774086741
340,2021-03-20,2749624,3930,4151.292754761235
341,2021-03-21,2752279,2655,4148.857293565565
342,2021-03-22,2754616,2337,4114.790943281972
343,2021-03-23,2757552,2936,4049.1667510333687
344,2021-03-24,2762270,4718,3955.5259977600945
345,2021-03-25,2766259,3989,3840.295215382112
346,2021-03-26,2769451,3192,3711.9749621126703
347,2021-03-27,2776370,6919,3580.1866866078235
348,2021-03-28,2779464,3094,3454.6724202893197
349,2021-03-29,2782735,3271,3344.341592041836
350,2021-03-30,2786219,3484,3256.450349595882
351,2021-03-31,2789428,3209,3195.9825280892
352,2021-04-01,2791910,2482,3165.2795772694913
353,2021-04-02,2797010,5100,3163.941535471239
354,2021-04-03,2799375,2365,3188.994943470592
355,2021-04-04,2801218,1843,3235.2988533197354
356,2021-04-05,2802225,1007,3296.1390211496687
357,2021-04-06,2806908,4683,3363.9447850384718
358,2021-04-07,2811270,4362,3431.0542647676925
359,2021-04-08,2815110,3840,3490.4519667805653
360,2021-04-09,2819600,4490,3536.4085290877
361,2021-04-10,2822889,3289,3564.964427970746
362,2021-04-11,2825551,2662,3574.2166479745592
363,2021-04-12,2826977,1426,3564.3878118347047
364,2021-04-13,2831972,4995,3537.679043167053
365,2021-04-14,2837160,5188,3497.9287957448723
366,2021-04-15,2840869,3709,3450.1180677469297
367,2021-04-16,2843929,3060,3399.776180550235
368,2021-04-17,2847101,3172,3352.349452791276
369,2021-04-18,2849072,1971,3312.5970148121683
370,2021-04-19,2850575,1503,3284.0736646892633
371,2021-04-20,2855052,4477,3268.7496361515296
372,2021-04-21,2859892,4840,3266.8025276332974
373,2021-04-22,2864319,4427,3276.598937596117
374,2021-04-23,2867748,3429,3294.864330414783
375,2021-04-24,2870407,2659,3317.021172778662
376,2021-04-25,2872756,2349,3337.659195936687
377,2021-04-26,2873995,1239,3351.0892625528572
378,2021-04-27,2878438,4443,3351.9248642476646
379,2021-04-28,2882423,3985,3335.633372337189
380,2021-04-29,2886638,4215,3299.002894616656
381,2021-04-30,2890257,3619,3240.47950150965
382,2021-05-01,2893928,3671,3160.3427359454763
383,2021-05-02,2895810,1882,3060.7033851724636
384,2021-05-03,2897110,1300,2945.3248859634027
385,2021-05-04,2901549,4439,2819.2867726816366
386,2021-05-05,2903934,2385,2688.523635919649
387,2021-05-06,2906362,2428,2559.2847264426505
388,2021-05-07,2909076,2714,2437.5665469301894
389,2021-05-08,2911927,2851,2328.572893683591
390,2021-05-09,2913480,1553,2236.253705237669
391,2021-05-10,2914504,1024,2162.9661053827367
392,2021-05-11,2917219,2715,2109.2890111660718
393,2021-05-12,2920043,2824,2074.0078007950297
394,2021-05-13,2922680,2637,2054.2692451930957
395,2021-05-14,2924766,2086,2045.8907579654679
396,2021-05-15,2927195,2429,2043.7935353849655
397,2021-05-16,2928389,1194,2042.517687288152
398,2021-05-17,2929050,661,2036.7700467317725
399,2021-05-18,2931500,2450,2021.9526408607987
400,2021-05-19,2934592,3092,1994.6220069800288
401,2021-05-20,2936614,2022,1952.8363827765206
402,2021-05-21,2938261,1647,1896.358593170908
403,2021-05-22,2939697,1436,1826.6961437246546
404,2021-05-23,2940679,982,1746.9753015625488
405,2021-05-24,2941389,710,1661.6613598120666
406,2021-05-25,2944265,2876,1576.1514083162394
407,2021-05-26,2946793,2528,1496.2774804019475
408,2021-05-27,2948986,2193,1427.7658803581865
409,2021-05-28,2950587,1601,1375.7021375085794
410,2021-05-29,2952311,1724,1344.050107293651
411,2021-05-30,2952861,550,1335.26840128874
412,2021-05-31,2953235,374,1350.0581350871132
413,2021-06-01,2953409,174,1387.2638395205954
414,2021-06-02,2954084,675,1443.9354459189094
415,2021-06-03,2956576,2492,1515.5448318004953
416,2021-06-04,2959171,2595,1596.3368204271603
417,2021-06-05,2961257,2086,1679.7829832909492
418,2021-06-06,2962395,1138,1759.0981019778937
419,2021-06-07,2962934,539,1827.7744059500594
420,2021-06-08,2964109,1175,1880.0880565507432
421,2021-06-09,2966038,1929,1911.5357529769647
422,2021-06-10,2972976,6938,1919.1663815783782
423,2021-06-11,2974886,1910,1901.7825822580523
424,2021-06-12,2976183,1297,1859.998986271592
425,2021-06-13,2976974,791,1796.1565618460575
426,2021-06-14,2977373,399,1714.1048222197394
427,2021-06-15,2978351,978,1618.8745097472445
428,2021-06-16,2979689,1338,1516.2718444568702
429,2021-06-17,2981826,2137,1412.4308414877435
430,2021-06-18,2982619,793,1313.3621901625768
431,2021-06-19,2983636,1017,1224.5357085161995
432,2021-06-20,2985388,1752,1150.5287228626073
433,2021-06-21,2985659,271,1094.7654376850078
434,2021-06-22,2986414,755,1059.3632413303792
435,2021-06-23,2988388,1974,1045.0918587999768
436,2021-06-24,2989604,1216,1051.441279080156
437,2021-06-25,2991189,1585,1076.7853654584108
438,2021-06-26,2992812,1623,1118.6207818525525
439,2021-06-27,2994213,1401,1173.8559101343849
440,2021-06-28,2994389,176,1239.122115046023
441,2021-06-29,2995223,834,1311.08008530334
442,2021-06-30,2997318,2095,1386.6968285030152
443,2021-07-01,3000069,2751,1463.4737794986306
444,2021-07-02,3001682,1613,1539.6127775037608
445,2021-07-03,3003278,1596,1614.1136519691624
446,2021-07-04,3004465,1187,1686.8040805192888
447,2021-07-05,3004684,219,1758.3085448446814
448,2021-07-06,3005221,537,1829.9680347611622
449,2021-07-07,3006541,1320,1903.7252349093444
450,2021-07-08,3010929,4388,1981.9910810608555
451,2021-07-09,3013216,2287,2067.5078228644734
452,2021-07-10,3015520,2304,2163.2213141837838
453,2021-07-11,3016891,1371,2272.171581315393
454,2021-07-12,3017321,430,2397.406324870522
455,2021-07-13,3020886,3565,2541.917482046468
456,2021-07-14,3024610,3724,2708.596891008807
457,2021-07-15,3029676,5066,2900.203961164468
458,2021-07-16,3032699,3023,3119.3364344620795
459,2021-07-17,3037130,4431,3368.3950254344754
460,2021-07-18,3039664,2534,3649.5339632766663
461,2021-07-19,3041410,1746,3964.592051169038
462,2021-07-20,3044072,2662,4315.002463984613
463,2021-07-21,3049688,5616,4701.683658597439
464,2021-07-22,3057874,8186,5124.917934631949
465,2021-07-23,3064743,6869,5584.227813676827
466,2021-07-24,3070903,6160,6078.263013410622
467,2021-07-25,3076115,5212,6604.712003884399
468,2021-07-26,3077513,1398,7160.251727282474
469,2021-07-27,3083368,5855,7740.547004471944
470,2021-07-28,3095920,12552,8340.307596533732
471,2021-07-29,3105208,9288,8953.406168027332
472,2021-07-30,3119924,14716,9573.054983355367
473,2021-07-31,3133639,13715,10192.03362196015
474,2021-08-01,3138837,5198,10802.954916245822
475,2021-08-02,3142184,3347,11398.552257345173
476,2021-08-03,3151893,9709,11971.968840404385
477,2021-08-04,3172919,21026,12517.028645679555
478,2021-08-05,3185937,13018,13028.470100614693
479,2021-08-06,3201476,15539,13502.126363564956
480,2021-08-07,3224572,23096,13935.040735072718
481,2021-08-08,3235644,11072,14325.511387805054
482,2021-08-09,3238016,2372,14673.065834224175
483,2021-08-10,3250897,12881,14978.371677334824
484,2021-08-11,3272462,21565,15243.095571268976
485,2021-08-12,3293869,21407,15469.726382889203
486,2021-08-13,3306267,12398,15661.380855342217
487,2021-08-14,3323844,17577,15821.610376597193
488,2021-08-15,3334027,10183,15954.22571352603
