,date,total_confirmed,new_confirmed,new_confirmed_after_fft,total_deaths,new_deaths,new_death_after_fft,total_recovered
53,2020-06-06,72610,1808,1568.0983894624299,1880,25,22.186921996333805,47865.0
54,2020-06-07,74652,2042,1609.9104750930721,1907,27,22.611034581296682,48895.0
55,2020-06-08,75697,1045,1655.7466290948805,1917,10,23.146769586413406,49758.0
56,2020-06-09,76689,992,1709.2320536498123,1928,11,23.78705661023216,49758.0
57,2020-06-10,78427,1738,1774.641364265125,1947,19,24.517996186244975,51140.0
58,2020-06-11,80986,2559,1856.5735139708079,1978,31,25.318289137128374,52449.0
59,2020-06-12,82940,1954,1959.5537601268672,2008,30,26.159507368057,54096.0
60,2020-06-13,85051,2111,2087.598831892337,2038,30,27.007317476649565,55258.0
61,2020-06-14,87192,2141,2243.787953107206,2057,19,27.823667862674395,56535.0
62,2020-06-15,88779,1587,2429.884693987139,2074,17,28.569838646710878,58341.0
63,2020-06-16,90488,1709,2646.052327891436,2097,23,29.210143245354885,59089.0
64,2020-06-17,93764,3276,2890.6984821543774,2148,51,29.71597313301578,60681.0
65,2020-06-18,98119,4355,3160.4738954691666,2186,38,30.06980475484177,62368.0
66,2020-06-19,101566,3447,3450.435968678793,2218,32,30.268749468023408,63812.0
67,2020-06-20,105635,4069,3754.3718189867336,2250,32,30.3272305008578,65329.0
68,2020-06-21,110250,4615,4065.2592557576636,2280,30,30.278418078212418,67096.0
69,2020-06-22,113112,2862,4375.829117034077,2294,14,30.17414352779667,68499.0
70,2020-06-23,118222,5110,4679.180299176084,2317,23,30.083139330933495,69190.0
71,2020-06-24,123440,5218,4969.390911359193,2343,26,30.08760456328352,70714.0
72,2020-06-25,129210,5770,5242.066260349889,2383,40,30.27826049337505,72898.0
73,2020-06-26,134997,5787,5494.767314400832,2430,47,30.748223598067188,74496.0
74,2020-06-27,140671,5674,5727.271866573235,2469,39,31.58616649905249,76282.0
75,2020-06-28,146254,5583,5941.634225076701,2510,41,32.869345747751545,78248.0
76,2020-06-29,151045,4791,6142.026798307006,2534,24,34.65713583309463,79974.0
77,2020-06-30,157434,6389,6334.366891745268,2564,30,36.985711949805655,81335.0
78,2020-07-01,163737,6303,6525.752582424208,2593,29,39.86446560671873,84818.0
79,2020-07-02,172859,9122,6723.750751773123,2649,56,43.274618409917764,87556.0
80,2020-07-03,180169,7310,6935.596365623012,2694,45,47.17032752189976,90720.0
81,2020-07-04,186319,6150,7167.37325628934,2748,54,51.482364077305775,93572.0
82,2020-07-05,192796,6477,7423.2517525152725,2784,36,56.12421053344296,97430.0
83,2020-07-06,196377,3581,7704.856814929505,2817,33,61.00018507850431,100843.0
84,2020-07-07,206410,10033,8010.831775239256,2872,55,66.01498281266129,103782.0
85,2020-07-08,216769,10359,8336.647891916393,2973,101,71.08384595519219,108485.0
86,2020-07-09,226133,9364,8674.689873450798,3066,93,76.14245778768762,113284.0
87,2020-07-10,237792,11659,9014.623946221336,3200,134,81.15561198261454,118326.0
88,2020-07-11,247074,9282,9344.029995005632,3263,63,86.12374897546313,122996.0
89,2020-07-12,255320,8246,9649.255012232534,3342,79,91.08657563832179,127880.0
90,2020-07-13,263551,8231,9916.423783312244,3432,90,96.12318766353033,132638.0
91,2020-07-14,270707,7156,10132.526424917538,3505,73,101.3483823398536,136419.0
92,2020-07-15,281105,10398,10286.49269540433,3591,86,106.90516283257284,142398.0
