,date,total_confirmed,new_confirmed,new_confirmed_after_fft,new_confirmed_after_sg,new_confirmed_after_convolve,total_deaths,new_deaths,new_death_after_fft,new_death_after_sg,new_death_after_convolve,total_recovered
59,2020-06-12,2024536,22068,24331.925928677472,26357.211449066162,72167.16234418606,113680,847,654.9978389275091,784.9246774265614,3085.826939534884,113680
60,2020-06-13,2050705,26169,24340.368763884773,27024.712720583717,72689.6337116279,114523,843,630.3347131142854,775.1579341840836,2994.3137488372095,114523
61,2020-06-14,2076261,25556,24249.368758083056,27727.190450368777,73103.83159069766,115250,727,614.287292967785,765.9030583931515,2937.667237209303,115250
62,2020-06-15,2095980,19719,24136.01917519588,28463.75723175117,73241.50399999999,115580,330,607.4012343588024,757.171326354541,2875.813841860465,115580
63,2020-06-16,2114522,18542,24088.43265749185,29233.38629290161,73699.38314418605,115976,396,609.530330677216,748.9747666668466,2836.5342139534887,115976
64,2020-06-17,2138450,23928,24196.83336196749,30034.912049940092,74422.06961860466,116764,788,619.8601776370567,741.325878688549,2809.186939534885,116764
65,2020-06-18,2165690,27240,24544.417734469695,30867.03149279469,75383.4590139535,117523,759,636.9869975412728,734.2373618524389,2789.9713116279067,117523
66,2020-06-19,2193639,27949,25198.886074245067,31728.306380555492,76261.45696744186,118220,697,659.0437233602755,727.7218570791208,2722.0937674418606,118220
67,2020-06-20,2225545,31906,26205.472990594473,32617.166219010396,77163.2687255814,118877,657,683.8615925692912,721.7917013538561,2643.7211534883727,118877
68,2020-06-21,2258729,33184,27582.15144264568,33531.91198943271,77810.98950697677,119452,575,709.1527480576638,716.4586963618567,2564.223739534884,119452
69,2020-06-22,2285119,26390,29317.467972555038,34470.72059455473,78542.45097674419,119734,282,732.6979051001529,711.733891920321,2525.3117395348836,119734
70,2020-06-23,2316448,31329,31371.20757733515,35431.64998488538,79427.36881860468,120145,411,752.5231165517038,707.6273847966236,2482.0214325581396,120145
71,2020-06-24,2352802,36354,33677.81077195423,36412.64492621453,80659.93186976745,120865,720,767.0510244892021,704.1481333672432,2485.9281860465117,120865
72,2020-06-25,2389361,36559,36152.19944828447,37411.54336710553,82027.59464186047,121614,749,775.2145758933233,701.3037884438729,2468.4199069767446,121614
73,2020-06-26,2429872,40511,38697.43756545443,38426.08336361429,83173.25257674417,124046,2432,776.5247475469808,699.1005404775656,2421.936186046511,124046
74,2020-06-27,2476031,46159,41213.47930823201,39453.91051704764,84424.19914418604,124681,635,771.088035103692,697.5429832420389,2372.428725581395,124681
75,2020-06-28,2518210,42179,43606.15723441617,40492.58587967755,85340.92669767441,125177,496,759.5739276673163,696.6339939985032,2317.865674418605,125177
76,2020-06-29,2560322,42112,45795.545060777455,41539.59428249806,86368.03382325581,125484,307,743.1369123154661,696.3746300538792,2272.1666976744195,125484
77,2020-06-30,2600073,39751,47722.895137424624,42592.35303870168,87412.7743627907,125810,326,723.3013544488005,696.764041540255,2251.083944186047,125810
78,2020-07-01,2647344,47271,49355.492405585435,43648.22097635364,88823.48282790698,127028,1218,701.820556198845,697.7994001666241,2250.59471627907,127028
79,2020-07-02,2698355,51011,50688.970575135834,44704.50775363638,90134.6864372093,127675,647,680.523165606314,699.475843627723,2253.134176744186,127675
80,2020-07-03,2753200,54845,51746.88243615418,45758.483410443994,91552.42861395348,128396,721,661.1607556807728,701.7864352894453,2216.7072,128396
81,2020-07-04,2807591,54391,52577.580810580286,46807.38811034216,92817.2573767442,129080,684,645.2697894169534,704.7221387187981,2178.385525581395,129080
82,2020-07-05,2856101,48510,53248.724266236066,47848.442027650744,93953.63482790698,129357,277,634.0594218176034,708.2718065722231,2156.045060465116,129357
83,2020-07-06,2905667,49566,53839.94782411648,48878.85533506327,95201.54987906977,129660,303,628.3338529737401,712.4221833161919,2133.0152930232557,129660
84,2020-07-07,2951700,46033,54434.41213874883,49895.83824823065,96621.18321860467,130011,351,628.4545105679912,717.1579212136962,2119.5275906976744,130011
85,2020-07-08,3010611,58911,55110.04884920182,50896.61108472831,98069.21369302327,131133,1122,634.3435358810344,722.4616089775741,2132.2227720930237,131133
86,2020-07-09,3069884,59273,55931.345488539395,51878.41429602177,99654.74973023255,131929,796,645.526230254885,728.3138124631339,2152.026604651163,131929
87,2020-07-10,3130601,60717,56942.45853058072,52838.51843237394,101329.6016744186,132946,1017,661.2066375634821,734.6931267481257,2163.927851162791,132946
88,2020-07-11,3198477,67876,58162.31352901051,53774.23400196925,102942.05585116279,133750,804,680.3676023286253,741.5762389324298,2126.8045023255813,133750
89,2020-07-12,3259867,61390,59582.15961088441,54682.92118711375,104407.44543255812,134495,745,701.8846961962902,748.938000966468,2112.155237209302,134495
90,2020-07-13,3320746,60879,61165.81037365311,55561.999381816444,105711.80409302325,134934,439,724.6425038698064,756.7515118154943,2093.9343255813956,134934
91,2020-07-14,3378091,57345,62852.547057626376,56408.956516781895,107026.38634418604,135356,422,747.641959857588,764.9882082511367,2086.773358139535,135356
